rule,text,cited_laws
37.4. ,"4. Returning the ball to a member of the fielding side
Either batsman is out under this Law if, without the consent of the
fielding side and while the ball is in play, he uses his bat or
person to return the ball to any member of that side.
",
37.5. ,"5. Runs scored
If a batsman is dismissed under this Law, runs completed by the
batsmen before the offence shall be scored, together with the
penalty for a No ball or a Wide, if applicable. Other penalties
that may be awarded to either side when the ball is dead shall
also stand. See Law 42.17(b) (Penalty runs).
If, however, the obstruction prevents a catch from being made,
runs completed by the batsmen before the offence shall not be
scored, but other penalties that may be awarded to either side
when the ball is dead shall stand. See Law 42.17(b) (Penalty
runs).
","42.17, 42.17"
37.6. ,"6. Bowler does not get credit
The bowler does not get credit for the wicket.
",
38,"LAW 38 RUNOUT
",38
38.1. ,"1. Out Run out
",
38.(a),"(a) Either batsman is out Run out, except as in 2 below, if at any
time while the ball is in play
",
38.(i),"(i) he is out of his ground
",
38.(ii),"(ii) his wicket is fairly put down by the opposing side.
",
38.(b),"(b) (a) above shall apply even though No ball has been called
whether or not a run is being attempted, except in the
circumstances of Law 39.3(b) (Not out Stumped).
74
2*. Batsman not Run out
Notwithstanding 1 above, a batsman is not out Run out if
(a) he has been within his ground and has subsequently left it to
avoid injury, when the wicket is put down.
(b) the ball has not subsequently been touched again by a fielder,
after the bowler has entered his delivery stride, before the
wicket is put down.
",39.3
38.(c),"(c) the ball, having been played by the striker, or having come off
his person, directly strikes a helmet worn by a fielder and
without further contact with him or any other fielder rebounds
directly on to the wicket. However, the ball remains in play
either batsman may be Run out in the circumstances of 1
above if a wicket is subsequently put down.
",
38.(d),"(d) he is out Stumped. See Law 39.1 (b) (Out Stumped).
",39.1
38.(e),"(e) he is out of his ground, not attempting a run and his wicket is
fairly put down by the wicket-keeper without the intervention
of another member of the fielding side, if No ball has been
called. See Law 39.3(b) (Not out Stumped).
3. Which batsman is out
The batsman out in the circumstances of 1 above is the one whose
ground is at the end where the wicket is put down. See Laws 2.8
(Transgression of the Laws by a batsman who has a runner) and
29.2 (Which is a batsman's ground).
4. Runs scored
If a batsman is dismissed Run out, the batting side shall score the
runs completed before the dismissal, together with the penalty for
a No ball or a Wide, if applicable. Other penalties to either side
that may be awarded when the ball is dead shall also stand. See
Law 42.17 (Penalty runs).
If, however, a striker with a runner is himself dismissed Run out,
runs completed by the runner and the other batsman before the
dismissal shall not be scored. The penalty for a No ball or a Wide
any other penalties to either side that may be awarded when
75
the ball is dead shall stand. See Laws 2.8 (Transgression of the
Laws by a batsman who has a runner) and 42.17(b) (Penalty
runs).
5. Bowler does not get credit
The bowler does not get credit for the wicket.
","2.8, 2.8, 29.2, 39.3, 42.17, 42.17"
39,"LAW 39 STUMPED
",39
39.1. ,"1. Out Stumped
",
39.(a),"(a) The striker is out Stumped if
",
39.(i),"(i) he is out of his ground
",
39.(ii),"(ii) he is receiving a ball which is not a No ball
",
39.(iii),"(iii) he is not attempting a run
",
39.(iv),"(iv) his wicket is put down by the wicket-keeper without
the intervention of another member of the fielding
side. Note Law 40.3 (Position of wicket-keeper).
",40.3
39.(b),"(b) The striker is out Stumped if all the conditions of (a) above are
satisfied, even though a decision of Run out would be justified.
",
39.2. ,"2. Ball rebounding from wicket-keeper's person
",
39.(a),"(a) If the wicket is put down by the ball, it shall be regarded as
having been put down by the wicket-keeper if the ball
",
39.(i),"(i) rebounds on to the stumps from any part of his person
equipment, other than a protective helmet
",
39.(ii),"(ii) has been kicked or thrown on to the stumps by the
wicket-keeper
",
39.(b),"(b) If the ball touches a helmet worn by the wicket-keeper, the ball
is still in play but the striker shall not be out Stumped. He will,
however, be liable to be Run out in these circumstances if
there is subsequent contact between the ball and any member
of the fielding side. Note, however, 3 below.
",
39.3. ,"3. Not out Stumped
",
39.(a),"(a) If the striker is not out Stumped, he is liable to be out Run out
76
if the conditions of Law 38 (Run out) apply, except as set out
in (b) below.
",38
39.(b),"(b) The striker shall not be out Run out if he is out of his ground,
not attempting a run, and his wicket is fairly put down by the
wicket-keeper without the intervention of another member of
the fielding side, if No ball has been called.
",
40,"LAW 40 THE WICKET-KEEPER
",40
40.1. ,"1. Protective equipment
The wicketkeeper is the only member of the fielding side
permitted to wear gloves and external leg guards. If he does so,
these are to be regarded as part of his person for the purposes of
Law 41.2 (Fielding the ball). If by his actions and positioning it is
apparent to the umpires that he will not be able to discharge his
duties as a wicket-keeper, he shall forfeit this right and also the
right to be recognised as a wicket-keeper for the purposes of Laws
32.3 (A fair catch), 39 (Stumped), 41.1 (Protective equipment),
41.5 (Limitation of on side fielders) and 41.6 (Fielders not to
encroach on the pitch).
","32.3, 39, 41.1, 41.2, 41.5, 41.6"
40.2. ,"2. Gloves
If the wicket-keeper wears gloves as permitted under 1 above,
they shall have no webbing between fingers except that a single
piece of flat non-stretch material may be inserted between index
finger and thumb solely as a means of support. This insert shall
not form a pouch when the hand is extended. See Appendix C.
",C
40.3. ,"3. Position of wicket-keeper
The wicket-keeper shall remain wholly behind the wicket at the
striker's end from the moment the ball comes into play until
",
40.(a),"(a) a ball delivered by the bowler
",
40.(i),"(i) touches the bat or person of the striker
",
40.(ii),"(ii) passes the wicket at the striker's end
",
40.(b),"(b) the striker attempts a run.
77
In the event of the wicket-keeper contravening this Law, the umpire
at the striker's end shall call and signal No ball as soon as
possible after the delivery of the ball.
",
40.4. ,"4. Movement by wicket-keeper
It is unfair if the wicket-keeper standing back makes a significant
movement towards the wicket after the ball comes into play and
before it reaches the striker. In the event of such unfair movement
by the wicket-keeper, either umpire shall call and signal Dead
ball. It will not be considered a significant movement if the wicket-
keeper moves a few paces forward for a slower delivery.
",
40.5. ,"5. Restriction on actions of wicket-keeper
If the wicket-keeper interferes with the striker's right to play the
ball
to guard his wicket, the striker shall
not be out, except under
Laws 33 (Handled the ball), 34 (Hit the ball twice), 37
(Obstructing the field) or 38 (Run out).
","33, 34, 37, 38"
40.6. ,"6. Interference with wicket-keeper by striker
If, in playing at the ball or in the legitimate defence of his wicket,
the striker interferes with the wicket-keeper, he shall not be out,
except as provided for in Law 37.3 (Obstructing a ball from being
caught).
",37.3
41,"LAW 41 THE FIELDER
",41
41.1. ,"1. Protective equipment
No member of the fielding side other than the wicket-keeper shall
be permitted to wear gloves or external leg guards. In addition,
protection for the hand or fingers may be worn only with the
consent of the umpires.
",
41.2. ,"2. Fielding the ball
A fielder may field the ball with any part of his person but if, while
the ball is in play he wilfully fields it otherwise,
",
41.(a),"(a) the ball shall become dead and 5 penalty runs shall be
awarded to the batting side. See Law 42.17 (Penalty runs).
",42.17
41.(b),"(b) the umpire shall inform the other umpire, the captain of the
78
fielding side, the batsmen and, as soon as practicable, the
captain of the batting side of what has occurred.
",
41.(c),"(c) the umpires together shall report the occurrence as soon as
possible to the Executive of the fielding side and any
Governing Body responsible for the match who shall take such
action as is considered appropriate against the captain and
player concerned.
",
41.3. ,"3. Protective helmets belonging to the fielding side
Protective helmets, when not in use by fielders, shall only be
placed, if above the surface, on the ground behind the wicket-
keeper and in line with both sets of stumps. If a helmet belonging
to the fielding side is on the ground within the field of play, and
the ball while in play strikes it, the ball shall become dead. 5
penalty runs shall then be awarded to the batting side. See Laws
18.11 (Runs scored when ball becomes dead) and 42.17
(Penalty runs).
","18.11, 42.17"
41.4. ,"4. Penalty runs not to be awarded
Notwithstanding 2 and 3 above, if from the delivery by the
bowler the ball first struck the person of the striker and if, in the
opinion of the umpire, the striker
neither (i) attempted to play the ball with his bat,
nor (ii) tried to avoid being hit by the ball,
then no award of 5 penalty runs shall be made and no other runs
penalties shall be credited to the batting side except the penalty
for a No ball if applicable. See Law 26.3 (Leg byes not to be
awarded).
",26.3
41.5. ,"5. Limitation of on side fielders
At the instant of the bowler's delivery there shall not be more than
two fielders, other than the wicket-keeper, behind the popping
crease on the on side. A fielder will be considered to be behind
the popping crease unless the whole of his person, whether
grounded or in the air, is in front of this line.
In the event of infringement of this Law by the fielding side, the
umpire at the striker's end shall call and signal No ball.
79
",
41.6. ,"6. Fielders not to encroach on the pitch
While the ball is in play and until the ball has made contact with
the bat or person of the striker, or has passed the striker’s bat, no
fielder, other than the bowler, may have any part of his person
grounded on or extended over the pitch.
In the event of infringement of this Law by any fielder other than
the wicket-keeper, the umpire at the bowler’s end shall call and
signal No ball as soon as possible after the delivery of the ball.
Note, however, Law 40.3 (Position of wicket-keeper).
",40.3
41.7. ,"7. Movement by fielders
Any significant movement by any fielder after the ball comes into
play and before the ball reaches the striker is unfair. In the event
of such unfair movement, either umpire shall call and signal Dead
ball. Note also the provisions of Law 42.4 (Deliberate attempt to
distract striker).
",42.4
41.8. ,"8. Definition of significant movement
",
41.(a),"(a) For close fielders anything other than minor adjustments to
stance or position in relation to the striker is significant.
",
41.(b),"(b) In the outfield, fielders are permitted to move in towards the
striker or striker's wicket, provided that 5 above is nor
contravened. Anything other than slight movement off line or
away from the striker is to be considered significant.
",
41.(c),"(c) For restrictions on movement by the wicket-keeper see Law
40.4 (Movement by wicket-keeper).
",40.4
42,"LAW 42 FAIR AND UNFAIR PLAY
",42
42.1. ,"1. Fair and unfair play - responsibility of captains
The responsibility lies with the captains for ensuring that play is
conducted within the spirit and traditions of the game, as
described in The Preamble - The Spirit of Cricket, as well as
within the Laws.
80
",
42.2. ,"2. Fair and unfair play - responsibility of umpires
The umpires shall be the sole judges of fair and unfair play. If
umpire considers an action, not covered by the Laws, to be
unfair, he shall intervene without appeal and, if the ball is in play,
shall call and signal Dead ball and implement the procedure as
set out in 18 below. Otherwise the umpires shall not interfere with
the progress of play, except as required to do so by the Laws.
",18
42.3. ,"3. The match ball - changing its condition
",
42.(a),"(a) Any fielder may
",
42.(i),"(i) polish the ball provided that no artificial substance is used
that such polishing wastes no time.
",
42.(ii),"(ii) remove mud from the ball under the supervision of the
umpire.
",
42.(iii),"(iii) dry a wet ball on a towel.
",
42.(b),"(b) It is unfair for anyone to rub the ball on the ground for any
reason, interfere with any of the seams or the surface of the
ball, use any implement, or take any other action whatsoever
which is likely to alter the condition of the ball, except as
permitted in (a) above.
",
42.(c),"(c) The umpires shall make frequent and irregular inspections of
the ball.
",
42.(d),"(d) In the event of any fielder changing the condition of the ball
unfairly, as set out in (b) above, the umpires after consultation
shall
",
42.(i),"(i) change the ball forthwith. It shall be for the umpires to
decide on the replacement ball, which shall, in their
opinion, have had wear comparable with that which the
previous ball had received immediately prior to the
contravention.
",
42.(ii),"(ii) inform the batsmen that the ball has been changed.
",
42.(iii),"(iii) award 5 penalty runs to the batting side. See 17 below.
",
42.(iv),"(iv) inform the captain of the fielding side that the reason for
the action was the unfair interference with the ball.
81
",
42.(v),"(v) inform the captain of the batting side as soon as
practicable of what has occurred.
",
42.(vi),"(vi) report the occurrence as soon as possible to the Executive
of the fielding side and any Governing Body responsible
for the match, who shall take such action as is considered
appropriate against the captain and team concerned.
",
42.(e),"(e) If there is any further instance of unfairly changing the
condition of the ball in that innings, the umpires after
consultation shall
",
42.(i),"(i) repeat the procedure in (d)(i), (ii) and (iii) above.
",
42.(ii),"(ii) inform the captain of the fielding side of the reason for the
action taken and direct him to take off forthwith the bowler
who delivered the immediately preceding ball. The bowler
thus taken off shall not be allowed to bowl again in that
innings.
",
42.(iii),"(iii) inform the captain of the batting side as soon as
practicable of what has occurred.
",
42.(iv),"(iv) report this further occurrence as soon as possible to the
Executive of the fielding side and any Governing Body
responsible for the match, who shall take such action as is
considered appropriate against the captain and team
concerned
",
42.4. ,"4. Deliberate attempt to distract striker
It is unfair for any member of the fielding side deliberately to
attempt to distract the striker while he is preparing to receive or
receiving a delivery.
",
42.(a),"(a) If either umpire considers that any action by a member of the
fielding side is such an attempt, at the first instance he shall
",
42.(i),"(i) immediately call and signal Dead ball.
",
42.(ii),"(ii) warn the captain of the fielding side that the action is
unfair and indicate that this is a first and final warning.
",
42.(iii),"(iii) inform the other umpire and the batsmen of what has
occurred.
82
Neither batsman shall be dismissed from that delivery and the
ball shall not count as one of the over.
",
42.(b),"(b) If there is any further such deliberate attempt in that innings,
by any member of the fielding side, the procedures, other than
warning, as set out in (a) above shall apply. Additionally, the
umpire at the bowler's end shall
",
42.(i),"(i) award 5 penalty runs to the batting side. See 17 below.
",
42.(ii),"(ii) inform the captain of the fielding side of the reason for this
action and, as soon as practicable, inform the captain of
the batting side.
",
42.(iii),"(iii) report the occurrence, together with the other umpire, as
soon as possible to the Executive of the fielding side and
any Governing Body responsible for the match, who shall
take such action as is considered appropriate against the
captain and player or players concerned.
",
42.5. ,"5. Deliberate distraction or obstruction of batsman
In addition to 4 above, it is unfair for any member of the fielding
side, by word or action, wilfully to attempt to distract or to obstruct
batsman after the striker has received the ball.
",
42.(a),"(a) It is for either one of the umpires to decide whether any
distraction or obstruction is wilful or not.
",
42.(b),"(b) If either umpire considers that a member of the fielding side
has wilfully caused or attempted to cause such a distraction or
obstruction he shall
",
42.(i),"(i) immediately call and signal Dead ball.
",
42.(ii),"(ii) inform the captain of the fielding side and the other
umpire of the reason for the call.
Additionally,
",
42.(iii),"(iii) neither batsman shall be dismissed from that delivery.
",
42.(iv),"(iv) 5 penalty runs shall be awarded to the batting side. See
17 below. In this instance, the run in progress shall be
scored, whether or not the batsmen had crossed at the
83
instant of the call. See Law 18.11 (Runs scored when ball
becomes dead).
",18.11
42.(v),"(v) the umpire at the bowler's end shall inform the captain of
the fielding side of the reason for this action and, as soon
as practicable, inform the captain of the batting side.
",
42.(vi),"(vi) the umpires shall report the occurrence as soon as
possible to the Executive of the fielding side and any
Governing Body responsible for the match, who shall take
such action as is considered appropriate against the
captain and player or players concerned.
",
42.6. ,"6. Dangerous and unfair bowling
",
42.(a),"(a) Bowling of fast short pitched balls
",
42.(i),"(i) The bowling of fast short pitched balls is dangerous and
unfair if the umpire at the bowler's end considers that by
their repetition and taking into account their length, height
direction they are likely to inflict physical injury on the
striker, irrespective of the protective equipment he may be
wearing. The relative skill of the striker shall be taken into
consideration.
",
42.(ii),"(ii) Any delivery which, after pitching, passes or would have
passed over head height of the striker standing upright at
the crease, although not threatening physical injury, is
unfair and shall be considered as part of the repetition
sequence in (i) above. The umpire shall call and signal No
ball for each such delivery.
",
42.(b),"(b) Bowling of high full pitched balls
",
42.(i),"(i) Any delivery, other than a slow paced one, which passes
would have passed on the full above waist height of the
striker standing upright at the crease is to be deemed
dangerous and unfair, whether or not it is likely to inflict
physical injury on the striker.
",
42.(ii),"(ii) A slow delivery which passes or would have passed on
the full above shoulder height of the striker standing
84
upright at the crease is to be deemed dangerous and
unfair, whether or not it is likely to inflict physical injury on
the striker.
",
42.7. ,"7. Dangerous and unfair bowling - action by the umpire
",
42.(a),"(a) In the event of dangerous and/or unfair bowling, as defined
in 6 above, by any bowler, except as in 8 below, at the first
instance the umpire at the bowler's end shall call and signal
No ball and, when the ball is dead, caution the bowler,
inform the other umpire, the captain of the fielding side and
the batsmen of what has occurred. This caution shall continue
to apply throughout the innings.
",
42.(b),"(b) If there is a second instance of such dangerous and/or unfair
bowling by the same bowler in that innings, the umpire at the
bowler's end shall repeat the above procedure and indicate
to the bowler that this is a final warning.
Both the above caution and final warning shall continue to apply
even though the bowler may later change ends.
",
42.(c),"(c) Should there be a further instance by the same bowler in that
innings, the umpire shall
",
42.(i),"(i) call and signal No ball.
",
42.(ii),"(ii) direct the captain, when the ball is dead, to take the
bowler off forthwith. The over shall be completed by
another bowler, who shall neither have bowled the
previous over nor be allowed to bowl the next over.
The bowler thus taken off shall not be allowed to bowl again
in that innings.
",
42.(iii),"(iii) report the occurrence to the other umpire, the batsmen
and, as soon as practicable, the captain of the batting
side.
",
42.(iv),"(iv) report the occurrence, with the other umpire, as soon as
possible to the Executive of the fielding side and to any
Governing Body responsible for the match, who shall take
85
such action as is considered appropriate against the
captain and bowler concerned.
",
42.8. ,"8. Deliberate bowling of high full pitched balls
If the umpire considers that a high full pitch which is deemed to
be dangerous and unfair, as defined in 6(b) above, was
deliberately bowled, then the caution and warning prescribed in
7 above shall be dispensed with. The umpire shall
",
42.(a),"(a) call and signal No ball.
",
42.(b),"(b) direct the captain, when the ball is dead, to take the bowler
off forthwith.
",
42.(c),"(c) implement the remainder of the procedure as laid down in
7(c) above.
",
42.9. ,"9. Time wasting by the fielding side
It is unfair for any member of the fielding side to waste time.
",
42.(a),"(a) If the captain of the fielding side wastes time, or allows any
member of his side to waste time, or if the progress of an over
is unnecessarily slow, at the first instance the umpire shall call
signal Dead ball if necessary and
",
42.(i),"(i) warn the captain, and indicate that this is a first and final
warning.
",
42.(ii),"(ii) inform the other umpire and the batsmen of what has
occurred.
",
42.(b),"(b) If there is any further waste of time in that innings, by any
member of the fielding side, the umpire shall
",
42.(i),"(i) if the waste of time is not during the course of an
over, award 5 penalty runs to the batting side. See
17 below.
",
42.(ii),"(ii) if the waste of time is during the course of an over,
when the ball is dead, direct the captain to take the
bowler off forthwith. If applicable, the over shall be
completed by another bowler, who shall neither
have bowled the previous over nor be allowed to
bowl the next over.
86
The bowler thus taken off shall not be allowed to
bowl again in that innings.
",
42.(iii),"(iii) inform the other umpire, the batsmen and, as soon as
practicable, the captain of the batting side of what has
occurred.
",
42.(iv),"(iv) report the occurrence, with the other umpire, as soon as
possible to the Executive of the fielding side and to any
Governing Body responsible for the match, who shall take
such action as is considered appropriate against the
captain and team concerned.
",
42.10. ,"10. Batsman wasting time
It is unfair for a batsman to waste time. In normal circumstances
the striker should always be ready to take strike when the bowler
is ready to start his run up.
",
42.(a),"(a) Should either batsman waste time by failing to meet this
requirement, or in any other way, the following procedure
shall be adopted. At the first instance, either before the bowler
starts his run up or when the ball is dead, as appropriate, the
umpire shall
",
42.(i),"(i) warn the batsman and indicate that this is a first and final
warning. This warning shall continue to apply throughout
the innings. The umpire shall so inform each incoming
batsman.
",
42.(ii),"(ii) inform the other umpire, the other batsman and the
captain of the fielding side of what has occurred.
",
42.(iii),"(iii) inform the captain of the batting side as soon as
practicable.
",
42.(b),"(b) if there is any further time wasting by any batsman in that
innings, the umpire shall, at the appropriate time while the
ball is dead
",
42.(i),"(i) award 5 penalty runs to the fielding side See 17 below.
",
42.(ii),"(ii) inform the other umpire, the other batsman, the captain of
the fielding side and, as soon as practicable, the captain of
87
the fielding side and, as soon as practicable, the captain
of the batting side of what has occurred
",
42.(iii),"(iii) report the occurrence, with the other umpire, as soon as
possible to the Executive of the batting side and to any
Governing Body responsible for the match, who shall take
such action as is considered appropriate against the
captain and player or players and, if appropriate, the
team concerned.
",
42.11. ,"11. Damaging the pitch - area to be protected
",
42.(a),"(a) It is incumbent on all players to avoid unnecessary damage to
the pitch. It is unfair for any player to cause deliberate
damage to the pitch.
",
42.(b),"(b) An area of the pitch, to be referred to as 'the protected area',
is defined as that area contained within a rectangle bounded
at each end by imaginary lines parallel to the popping
creases and 5ft/1.52m in front of each
on the sides by
imaginary lines, one each side of the imaginary line joining
the centres of the two middle stumps, each parallel to it and
1 ft/30.48cm from it.
",
42.12. ,"12. Bowler running on the protected area after delivering the ball
",
42.(a),"(a) If the bowler, after delivering the ball, runs on the protected
area as defined in 11(b) above, the umpire shall at the first
instance, and when the ball is dead,
",
42.(i),"(i) caution the bowler. This caution shall continue to apply
throughout the innings.
",
42.(ii),"(ii) inform the other umpire, the captain of the fielding side
the batsmen of what has occurred.
",
42.(b),"(b) If, in that innings, the same bowler runs on the protected area
again after delivering the ball, the umpire shall repeat the
above procedure, indicating that this is a final warning.
",
42.(c),"(c) If, in that innings, the same bowler runs on the protected area
a third time after delivering the ball, when the ball is dead the
umpire shall
88
",
42.(i),"(i) direct the captain of the fielding side to take the bowler off
forthwith. If applicable, the over shall be completed by
another bowler, who shall neither have bowled the
previous over nor be allowed to bowl the next over. The
bowler thus taken off shall not be allowed to bowl again
in that innings
",
42.(ii),"(ii) inform the other umpire, the batsmen and, as soon as
practicable, the captain of the batting side of what has
occurred.
",
42.(iii),"(iii) report the occurrence, with the other umpire, as soon as
possible to the Executive of the fielding side and to any
Governing Body responsible for the match, who shall take
such action as is considered appropriate against the
captain and bowler concerned.
",
42.13. ,"13. Fielder damaging the pitch
",
42.(a),"(a) If any fielder causes avoidable damage to the pitch, other
than as in 12(a) above, at the first instance the umpire shall,
when the ball is dead,
",
42.(i),"(i) caution the captain of the fielding side, indicating that this
is a first and final warning. This caution shall continue to
apply throughout the innings.
",
42.(ii),"(ii) inform the other umpire and the batsmen of what has
occurred.
",
42.(b),"(b) If there is any further avoidable damage to the pitch by any
fielder in that innings, the umpire shall, when the ball is dead,
",
42.(i),"(i) award 5 penalty runs to the batting side. See 17 below.
",
42.(ii),"(ii) inform the other umpire, the batsmen, the captain of the
fielding side and, as soon as practicable, the captain of
the batting side of what has occurred.
",
42.(iii),"(iii) report the occurrence, with the other umpire, as soon as
possible to the Executive of the fielding side and any
Governing Body responsible for the match, who shall take
such action as is considered appropriate against the
captain and player or players concerned.
89
",
42.14. ,"14. Batsman damaging the pitch
",
42.(a),"(a) If either batsman causes avoidable damage to the pitch, at the
first instance the umpire shall, when the ball is dead,
",
42.(i),"(i) caution the batsman. This caution shall continue to apply
throughout the innings. The umpire shall so inform each
incoming batsman.
",
42.(ii),"(ii) inform the other umpire, the other batsman, the captain of
the fielding side and, as soon as practicable, the captain
of the batting side.
",
42.(b),"(b) If there is a second instance of avoidable damage to the pitch
by any batsman in that innings
",
42.(i),"(i) the umpire shall repeat the above procedure, indicating
that this is a final warning.
",
42.(ii),"(ii) additionally he shall disallow all runs to the batting side
from that delivery other than the penalty for a No ball or
a Wide, if applicable. The batsmen shall return to their
original ends.
",
42.(c),"(c) If there is any further avoidable damage to the pitch by any
batsman in that innings, the umpire shall, when the ball is
dead,
",
42.(i),"(i) disallow all runs to the batting side from that delivery other
than the penalty for a No ball or a Wide, if applicable.
",
42.(ii),"(ii) additionally award 5 penalty runs to the fielding side. See
17 below.
",
42.(iii),"(iii) inform the other umpire, the other batsman, the captain of
the fielding side and, as soon as practicable, the captain
of the batting side of what has occurred.
",
42.(iv),"(iv) report the occurrence, with the other umpire, as soon as
possible to the Executive of the batting side and any
Governing Body responsible for the match, who shall take
such action as is considered appropriate against the
captain and player or players concerned.
90
",
42.15. ,"15. Bowler attempting to run out non-striker before delivery
The bowler is permitted, before entering his delivery stride, to
attempt to run out the non-striker. The ball shall not count in the
over.
The umpire shall call and signal Dead ball as soon as possible if
the bowler fails in the attempt to run out the non-striker.
",
42.16. ,"16. Batsmen stealing a run
It is unfair for the batsmen to attempt to steal a run during the
bowler's run up. Unless the bowler attempts to run out either
batsman - see 15 above and Law 24.4 (Bowler throwing towards
striker's end before delivery) - the umpire shall
","15, 24.4"
42.(i),"(i) call and signal Dead ball as soon as the batsmen cross in any
such attempt.
",
42.(ii),"(ii) return the batsmen to their original ends.
",
42.(iii),"(iii) award 5 penalty runs to the fielding side. See 17 below.
",
42.(iv),"(iv) inform the other umpire, the batsmen, the captain of the
fielding side and, as soon as practicable, the captain of the
batting side of the reason for the action taken.
",
42.(v),"(v) report the occurrence, with the other umpire, as soon as
possible to the Executive of the batting side and any
Governing Body responsible for the match, who shall take
such action as is considered appropriate against the captain
player or players concerned.
",
42.17. ,"17. Penalty runs
",
42.(a),"(a) When penalty runs are awarded to either side, when the ball
is dead the umpire shall signal the penalty runs to the scorers
as laid down in Law 3.14 (Signals).
",3.14
42.(b),"(b) Notwithstanding any provisions elsewhere in the Laws,
penalty runs shall not be awarded once the match is
concluded as defined in Law 16.9 (Conclusion of a match).
",16.9
42.(c),"(c) When 5 penalty runs are awarded to the batting side, under
Law 2.6 (Player returning without permission) or Law 41
(The fielder) or under 3, 4, 5, 9 or 13 above, then
91
","2.6, 3, 4, 5, 9, 13, 41"
42.(i),"(i) they shall be scored as penalty extras and shall be in
addition to any other penalties.
",
42.(ii),"(ii) they shall not be regarded as runs scored from either the
immediately preceding delivery or the following delivery,
shall be in addition to any runs from those deliveries.
",
42.(iii),"(iii) the batsmen shall not change ends solely by reason of the
5 run penalty.
",
42.(d),"(d) When 5 penalty runs are awarded to the fielding side, under
Law 18.5(b) (Deliberate short runs), or under 10, 14 or 16
above, they shall be added as penalty extras to that side's
total of runs in its most recently completed innings If the
fielding side has not completed an innings, the 5 penalty
extras shall be added to its next innings.
",18.5
42.18. ,"18. Players' conduct
If there is any breach of the Spirit of the Game by a player failing
to comply with the instructions of an umpire, or criticising his
decisions by word or action, or showing dissent, or generally
behaving in a manner which might bring the game into disrepute,
the umpire concerned shall immediately report the matter to the
other umpire.
The umpires together shall
",
42.(i),"(i) inform the player's captain of the occurrence, instructing the
latter to take action.
",
42.(ii),"(ii) warn him of the gravity of the offence, and tell him that it will
be reported to higher authority.
",
42.(iii),"(iii) report the occurrence as soon as possible to the Executive of
the player's team and any Governing Body responsible for the
match, who shall take such action as is considered
appropriate against the captain and player or players, and, if
appropriate, the team concerned.
92
",
